Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	NF01	20180705	15,2018-07-05 15:00:37,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180705_151951.avi,3431.440,25.0,Worker 4 (35),eatsbrood,,,STATE,0.000,26.276,26.276,,
NF01	20180627	20,2018-06-27 20:00:10,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_forNF01_1_20180627_203127.avi,2796.960,25.0,No focal subject,nectarforaging,,,STATE,2.798,74.602,71.804,,
nest	NF01	20180704	4,2018-07-04 04:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_040339.avi,3359.800,25.0,Worker 5 (82),feedsbrood,,,POINT,8.831,8.831,NA,,
nest	NF01	20180704	4,2018-07-04 04:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_040339.avi,3359.800,25.0,Worker 5 (82),feedsbrood,,,POINT,18.025,18.025,NA,,
nest	NF01	20180704	4,2018-07-04 04:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_040339.avi,3359.800,25.0,Worker 5 (82),feedsbrood,,,POINT,32.380,32.380,NA,,
nest	NF01	20180704	4,2018-07-04 04:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_040339.avi,3359.800,25.0,Worker 5 (82),feedsbrood,,,POINT,37.980,37.980,NA,,
nest	NF01	20180704	15,2018-07-04 15:00:31,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_150453.avi,3404.160,25.0,Worker 1 (4),feedsbrood,,,POINT,40.604,40.604,NA,,
nest	NF01	20180705	15,2018-07-05 15:00:37,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180705_151951.avi,3431.440,25.0,Worker 4 (35),feedsbrood,,,POINT,53.375,53.375,NA,,
nest	NF01	20180704	12,2018-07-04 12:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_120442.avi,3421.960,25.0,Worker 5 (82),feedsbrood,,,POINT,56.227,56.227,NA,,
nest	NF01	20180629	14,2018-06-29 14:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180629_133912.avi,3010.640,25.0,Worker 5 (82),feedsbrood,,,POINT,65.850,65.850,NA,,
nest	NF01	20180703	15,2018-07-03 15:00:05,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180703_150233.avi,3250.400,25.0,Worker 5 (82),feedsbrood,,,POINT,75.728,75.728,NA,,
for	NF01	20180629	14,2018-06-29 14:00:20,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180629_143618.avi,3063.680,25.0,Worker 2 (6),nectarforaging,,,STATE,78.932,209.529,130.597,,
for	NF01	20180705	21,2018-07-05 21:00:15,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_forNF01_1_20180705_212022.avi,3349.480,25.0,No focal subject,nectarforaging,,,STATE,84.005,184.425,100.420,,
NF01	20180705 21,2018-07-05 21:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_forNF01_1_20180705_212022.avi,3349.480,25.0,No focal subject,nectarforaging,,,STATE,85.225,183.753,98.528,,
nest	NF01	20180627	8,2018-06-27 08:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180627_083224.avi,3253.840,25.0,Worker 4 (35),feedsbrood,,,POINT,87.756,87.756,NA,,
nest	NF01	20180627	8,2018-06-27 08:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180627_083224.avi,3253.840,25.0,Worker 2 (6),feedsbrood,,,POINT,88.580,88.580,NA,,
nest	NF01	20180703	15,2018-07-03 15:00:05,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180703_150233.avi,3250.400,25.0,Worker 1 (4),feedsbrood,,,POINT,89.005,89.005,NA,,
for	NF01	20180627	12,2018-06-27 12:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF01/05_forNF01_1_20180627_123034.avi,2813.120,25.0,Worker 2 (6),nectarforaging,,,STATE,89.181,246.879,157.698,,
for	NF01	20180627	15,2018-06-27 15:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF01/05_forNF01_1_20180627_153041.avi,3013.240,25.0,Worker 3 (13),nectarforaging,,,STATE,90.805,275.125,184.320,,
nest	NF01	20180704	4,2018-07-04 04:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_040339.avi,3359.800,25.0,Worker 5 (82),feedsbrood,,,POINT,91.001,91.001,NA,,
nest	NF01	20180627	20,2018-06-27 20:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180627_203441.avi,2895.000,25.0,Worker 2 (6),feedsbrood,,,POINT,99.763,99.763,NA,,
nest	NF01	20180704	12,2018-07-04 12:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_120442.avi,3421.960,25.0,Worker 1 (4),feedsbrood,,,POINT,111.252,111.252,NA,,
nest	NF01	20180629	14,2018-06-29 14:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180629_133912.avi,3010.640,25.0,Worker 4 (35),feedsbrood,,,POINT,127.400,127.400,NA,,
nest	NF01	20180703	15,2018-07-03 15:00:05,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180703_150233.avi,3250.400,25.0,Worker 1 (4),feedsbrood,,,POINT,135.705,135.705,NA,,
nest	NF01	20180703	15,2018-07-03 15:00:05,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180703_150233.avi,3250.400,25.0,Worker 5 (82),feedsbrood,,,POINT,145.855,145.855,NA,,
nest	NF01	20180703	15,2018-07-03 15:00:05,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180703_150233.avi,3250.400,25.0,Worker 5 (82),feedsbrood,,,POINT,152.930,152.930,NA,,
nest	NF01	20180703	15,2018-07-03 15:00:05,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180703_150233.avi,3250.400,25.0,Worker 5 (82),feedsbrood,,,POINT,157.552,157.552,NA,,
nest	NF01	20180703	9,2018-07-03 09:00:52,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180703_090208.avi,3279.400,25.0,Worker 3 (13),feedsbrood,,,POINT,159.010,159.010,NA,,
nest	NF01	20180705	18,2018-07-05 18:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180705_182008.avi,3345.320,25.0,Worker 4 (35),feedsbrood,,,POINT,169.579,169.579,NA,,
nest	NF01	20180704	12,2018-07-04 12:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_120442.avi,3421.960,25.0,Worker 2 (6),feedsbrood,,,POINT,174.927,174.927,NA,,
nest	NF01	20180705	18,2018-07-05 18:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180705_182008.avi,3345.320,25.0,Worker 4 (35),feedsbrood,,,POINT,207.079,207.079,NA,,
nest	NF01	20180629	17,2018-06-29 17:00:05,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180629_173936.avi,3357.680,25.0,Worker 4 (35),feedsbrood,,,POINT,210.793,210.793,NA,,
nest	NF01	20180627	13,2018-06-27 13:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180627_133317.avi,3013.600,25.0,Worker 3 (13),feedsbrood,,,POINT,230.878,230.878,NA,,
nest	NF01	20180627	0,2018-06-27 00:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_nestNF01_1_20180627_003155.avi,3386.120,25.0,Worker 4 (35),feedsbrood,,,POINT,244.551,244.551,NA,,
nest	NF01	20180629	14,2018-06-29 14:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180629_133912.avi,3010.640,25.0,Worker 3 (13),feedsbrood,,,POINT,268.056,268.056,NA,,
nest	NF01	20180703	9,2018-07-03 09:00:52,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180703_090208.avi,3279.400,25.0,Worker 3 (13),feedsbrood,,,POINT,283.145,283.145,NA,,
nest	NF01	20180629	17,2018-06-29 17:00:05,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180629_173936.avi,3357.680,25.0,Worker 4 (35),feedsbrood,,,POINT,288.441,288.441,NA,,
nest	NF01	20180704	12,2018-07-04 12:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180704_120442.avi,3421.960,25.0,Worker 4 (35),feedsbrood,,,POINT,293.260,293.260,NA,,
nest	NF01	20180705	18,2018-07-05 18:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180705_182008.avi,3345.320,25.0,Worker 4 (35),feedsbrood,,,POINT,293.278,293.278,NA,,
nest	NF01	20180627	11,2019-11-04 13:07:39,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_nestNF01_1_20180627_113257.avi,2917.600,25.0,Worker 5 (82),feedsbrood,,,POINT,312.411,312.411,NA,,
for	NF01	20180627	15,2018-06-27 15:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF01/05_forNF01_1_20180627_153041.avi,3013.240,25.0,Worker 3 (13),nectarforaging,,,STATE,391.781,532.906,141.125,,
for	NF01	20180705	21,2018-07-05 21:00:15,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_forNF01_1_20180705_212022.avi,3349.480,25.0,No focal subject,nectarforaging,,,STATE,876.605,920.130,43.525,,
NF01	20180705 21,2018-07-05 21:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_forNF01_1_20180705_212022.avi,3349.480,25.0,No focal subject,nectarforaging,,,STATE,877.016,919.770,42.754,,
