Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NF02	20180704	14,2018-07-04 14:00:15,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF02/05_forNF02_1_20180704_140011 (1).avi,3600.400,25.0,No focal subject,nectarforaging,,,STATE,0.015,35.652,35.637,,
for	NF02	20180703	16,2018-07-03 16:00:11,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF02/05_forNF02_1_20180703_165911 (1).avi,3612.000,25.0,No focal subject,nectarforaging,,,STATE,3.615,146.382,142.767,,
nest	NF02	20180703	19,2018-07-03 19:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF02/05_nestNF02_1_20180703_195931.avi,3598.910,22.0,Worker 2 (5),feedsbrood,,,POINT,4.855,4.855,NA,,
nest	NF02	20180704	20,2018-07-04 20:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF02/05_nestNF02_1_20180704_200023.avi,3600.450,22.0,Worker 1 (1),feedsbrood,,,POINT,29.185,29.185,NA,,
nest	NF02	20180703	19,2018-07-03 19:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF02/05_nestNF02_1_20180703_195931.avi,3598.910,22.0,Worker 2 (5),feedsbrood,,,POINT,50.278,50.278,NA,,
nest	NF02	20180703	19,2018-07-03 19:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF02/05_nestNF02_1_20180703_195931.avi,3598.910,22.0,Worker 1 (1),feedsbrood,,,POINT,52.828,52.828,NA,,
nest	NF02	20180703	16,2018-07-03 16:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF02/05_nestNF02_1_20180703_165923.avi,3594.860,22.0,Worker 1 (1),feedsbrood,,,POINT,56.979,56.979,NA,,
nest	NF02	20180704	2,2018-07-04 02:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF02/05_nestNF02_1_20180704_025944.avi,3598.550,22.0,Worker 3 (26),feedsbrood,,,POINT,64.479,64.479,NA,,
nest	NF02	20180704	2,2018-07-04 02:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF02/05_nestNF02_1_20180704_025944.avi,3598.550,22.0,Worker 1 (1),feedsbrood,,,POINT,66.626,66.626,NA,,
nest	NF02	20180704	20,2018-07-04 20:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF02/05_nestNF02_1_20180704_200023.avi,3600.450,22.0,Worker 5 (77),feedsbrood,,,POINT,98.528,98.528,NA,,
