Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NT10	20180825	3,2018-08-25 03:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_forNT10_1_20180825_034111.avi,1792.200,25.0,Worker 1 (7),nectarforaging,,,STATE,0.000,0.001,0.001,,
for	NT10	20180818	17,2018-08-18 17:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_forNT10_1_20180818_170036.avi,2013.120,25.0,Worker 2 (18),nectarforaging,,,STATE,1.079,101.234,100.155,,
nest	NT10	20180823	16,2018-08-23 16:00:11,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180823_160155.avi,2132.400,25.0,Worker 1 (7),feedsbrood,,,POINT,21.652,21.652,NA,,
for	NT10	20180823	13,2018-08-23 13:00:06,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT10/05_forNT10_1_20180823_130106.avi,2134.440,25.0,Worker 1 (7),nectarforaging,,,STATE,22.520,58.356,35.836,,
nest	NT10	20180823	17,2018-08-23 17:00:04,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180823_170214.avi,2183.840,25.0,Worker 2 (18),feedsbrood,,,POINT,30.506,30.506,NA,,
nest	NT10	20180825	11,2018-08-25 11:00:10,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180825_114235.avi,1857.160,25.0,Worker 4 (6 or 9),feedsbrood,,,POINT,51.395,51.395,NA,,
nest	NT10	20180825	23,2018-08-25 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180825_234509.avi,1858.080,25.0,Worker 4 (6 or 9),feedsbrood,,,POINT,98.491,98.491,NA,,
nest	NT10	20180819	5,2018-08-19 05:00:05,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180819_050408.avi,2221.640,25.0,Worker 1 (7),feedsbrood,,,POINT,134.305,134.305,NA,,
nest	NT10	20180818	17,2018-08-18 17:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NT/NT10/05_nestNT10_1_20180818_170122.avi,2006.560,25.0,Worker 2 (18),fillshoneypot,,,POINT,137.701,137.701,NA,,
nest	NT10	20180823	12,2018-08-23 12:00:58,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180823_120115.avi,2142.600,25.0,Worker 2 (18),feedsbrood,,,POINT,166.108,166.108,NA,,
for                        NT10	20180823	16,2018-08-23 16:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT10/05_forNT10_1_20180823_160143.avi,2118.760,25.0,Worker 2 (18),nectarforaging,,,STATE,230.022,273.948,43.926,,
nest	NT10	20180825	11,2018-08-25 11:00:10,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180825_114235.avi,1857.160,25.0,Worker 1 (7),feedsbrood,,,POINT,237.960,237.960,NA,,
nest	NT10	20180823	12,2018-08-23 12:00:58,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180823_120115.avi,2142.600,25.0,Worker 2 (18),feedsbrood,,,POINT,261.925,261.925,NA,,
nest	NT10	20180823	17,2018-08-23 17:00:04,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_nestNT10_1_20180823_170214.avi,2183.840,25.0,Worker 2 (18),feedsbrood,,,POINT,262.077,262.077,NA,,
for	NT10	20180818	17,2018-08-18 17:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT10/05_forNT10_1_20180818_170036.avi,2013.120,25.0,Worker 2 (18),nectarforaging,,,STATE,372.609,428.013,55.404,,
