Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,9.054,18.576,9.522,,
nest	NT13	20181113	14,2018-11-13 14:00:54,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181113_140409.avi,1074.280,25.0,Worker 3 (99),feedsbrood,,,POINT,39.905,39.905,NA,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,53.256,112.250,58.994,,
nest	NT13	20181113	16,2019-10-24 09:32:04,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181113_160432.avi,1101.200,25.0,Worker 2 (56),feedsbrood,,,POINT,76.480,76.480,NA,,
nest	NT13	20181119	17,2018-11-19 17:00:25,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181119_170858.avi,1840.640,25.0,Worker 3 (99),fillshoneypot,,,POINT,91.134,91.134,NA,,
nest	NT13	20181119	17,2018-11-19 17:00:25,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181119_170858.avi,1840.640,25.0,Worker 3 (99),fillshoneypot,,,POINT,109.832,109.832,NA,,
nest	NT13	20181119	16,2018-11-19 16:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181119_160846.avi,1735.000,25.0,Worker 3 (99),fillshoneypot,,,POINT,134.105,134.105,NA,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,154.977,158.401,3.424,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,159.976,182.280,22.304,,
nest	NT13	20181114	11,2018-11-14 11:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181114_110916.avi,900.760,25.0,Worker 2 (56),feedsbrood,,,POINT,196.397,196.397,NA,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,197.980,201.976,3.996,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,206.705,281.830,75.125,,
nest	NT13	20181120	15,2018-11-20 15:00:47,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181120_150327.avi,1567.480,25.0,Worker 1 (27),feedsbrood,,,POINT,206.845,206.845,NA,,
nest	NT13	20181119	16,2018-11-19 16:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_nestNT13_1_20181119_160846.avi,1735.000,25.0,Worker 3 (99),fillshoneypot,,,POINT,289.120,289.120,NA,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,290.625,336.125,45.500,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,364.803,414.453,49.650,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,419.576,461.655,42.079,,
for	NT13	20181119	16,2018-11-19 16:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT13/05_forNT13_1_20181119_160946.avi,1742.200,25.0,Unknown worker,nectarforaging,,,STATE,496.626,550.979,54.353,,
