Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA05	20180703	14,2018-07-03 14:00:12,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA05/05_nestQA05_1_20180703_145931.avi,3598.860,14.0,Queen (32),feedsbrood,,,POINT,14.401,14.401,NA,,
for	QA05	20180711	15,2018-07-11 15:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/QA/QA05/05_forQA05_1_20180711_155954.avi,2520.080,25.0,Queen (32),nectarforaging,,,STATE,33.802,319.375,285.573,,
nest	QA05	20180705	7,2018-07-05 07:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA05/05_nestQA05_1_20180705_070105.avi,3591.640,14.0,Queen (32),feedsbrood,,,POINT,63.002,63.002,NA,,
nest	QA05	20180704	16,2018-07-04 16:00:58,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA05/05_nestQA05_1_20180704_160037.avi,3590.430,14.0,Queen (32),feedsbrood,,,POINT,106.902,106.902,NA,,
nest	QA05	20180705	7,2018-07-05 07:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA05/05_nestQA05_1_20180705_070105.avi,3591.640,14.0,Queen (32),feedsbrood,,,POINT,129.888,129.888,NA,,
for	QA05	20180705	17,2018-07-05 17:00:59,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QA/QA05/05_forQA05_1_20180705_170110.avi,3599.320,25.0,Queen (32),nectarforaging,,,STATE,192.204,229.657,37.453,,
for	QA05	20180705	17,2018-07-05 17:00:59,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QA/QA05/05_forQA05_1_20180705_170110.avi,3599.320,25.0,Queen (32),other,,,STATE,199.004,261.532,62.528,,
nest	QA05	20180704	16,2018-07-04 16:00:58,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA05/05_nestQA05_1_20180704_160037.avi,3590.430,14.0,Queen (32),feedsbrood,,,POINT,207.254,207.254,NA,,
nest	QA05	20180703	18,2018-07-03 18:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/QA/QA05/05_nestQA05_1_20180703_185953.avi,3593.070,14.0,Queen (32),feedsbrood,,,POINT,289.805,289.805,NA,,
for	QA05	20180705	17,2018-07-05 17:00:59,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QA/QA05/05_forQA05_1_20180705_170110.avi,3599.320,25.0,Queen (32),nectarforaging,,,STATE,313.550,313.551,0.001,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),nectarforaging,,,STATE,1142.981,1149.778,6.797,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),pollenforaging,,,STATE,1171.356,1179.826,8.470,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),pollenforaging,,,STATE,1214.502,1221.780,7.278,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),pollenforaging,,,STATE,1264.331,1310.353,46.022,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),nectarforaging,,,STATE,1347.702,1378.331,30.629,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),pollenforaging,,,STATE,1414.626,1422.050,7.424,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),nectarforaging,,,STATE,1468.402,1507.626,39.224,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),nectarforaging,,,STATE,1538.152,1670.731,132.579,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),pollenforaging,,,STATE,1692.828,1706.426,13.598,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),nectarforaging,,,STATE,1744.426,1760.853,16.427,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),pollenforaging,,,STATE,1782.356,1813.751,31.395,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),pollenforaging,,,STATE,1918.503,1938.680,20.177,,
QA05	20180710	9,2018-07-10 09:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_forQA05_1_20180710_091649.avi,3600.480,25.0,Queen (32),nectarforaging,,,STATE,2032.577,2328.956,296.379,,
