Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QA11	20181114	0,2018-11-14 00:00:50,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_001006.avi,1277.140,14.0,Queen (97),nectarforaging,,,STATE,8.626,67.119,58.493,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,,STATE,19.952,111.975,92.023,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,,POINT,147.836,147.836,NA,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,,POINT,226.000,226.000,NA,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,,STATE,235.190,319.475,84.285,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,,POINT,239.897,239.897,NA,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,,POINT,250.410,250.410,NA,,
nest	QA11	20181114	23,2018-11-14 23:00:58,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_235112.avi,1097.360,25.0,Queen (97),fillshoneypot,,,POINT,258.758,258.758,NA,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,,POINT,266.963,266.963,NA,,
nest	QA11	20181114	23,2018-11-14 23:00:58,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_235112.avi,1097.360,25.0,Queen (97),fillshoneypot,,,POINT,269.242,269.242,NA,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,,POINT,280.817,280.817,NA,,
nest	QA11	20181113	23,2018-11-13 23:00:55,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181113_231103.avi,996.080,25.0,Queen (97),fillshoneypot,,,POINT,292.259,292.259,NA,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,,STATE,383.176,391.000,7.824,,
for	QA11	20181114	0,2018-11-14 00:00:50,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_001006.avi,1277.140,14.0,Queen (97),nectarforaging,,,STATE,620.844,628.671,7.827,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,,STATE,638.811,719.545,80.734,,
for	QA11	20181112	23,2018-11-12 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181112_230934.avi,1849.430,14.0,Queen (97),nectarforaging,,,STATE,720.001,722.351,2.350,,
for	QA11	20181112	23,2018-11-12 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181112_230934.avi,1849.430,14.0,Queen (97),nectarforaging,,,STATE,760.858,763.507,2.649,,
for	QA11	20181112	23,2018-11-12 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181112_230934.avi,1849.430,14.0,Queen (97),nectarforaging,,,STATE,805.385,805.494,0.109,,
for	QA11	20181112	23,2018-11-12 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181112_230934.avi,1849.430,14.0,Queen (97),nectarforaging,,,STATE,805.908,806.044,0.136,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,,STATE,869.922,895.799,25.877,,
for	QA11	20181112	23,2018-11-12 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181112_230934.avi,1849.430,14.0,Queen (97),nectarforaging,,,STATE,882.758,916.785,34.027,,
for	QA11	20181114	0,2018-11-14 00:00:50,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_001006.avi,1277.140,14.0,Queen (97),nectarforaging,,,STATE,1079.755,1091.530,11.775,,
for	QA11	20181114	0,2018-11-14 00:00:50,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_001006.avi,1277.140,14.0,Queen (97),nectarforaging,,,STATE,1094.847,1100.229,5.382,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,,STATE,1176.791,1186.566,9.775,,
