Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF15	20181108	12,2018-11-08 12:00:44,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181108_123452.avi,766.120,25.0,Worker 1 (8),nectarforaging,,,STATE,0.000,765.878,765.878,,
for	QF15	20181108	12,2018-11-08 12:00:44,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181108_123452.avi,766.120,25.0,Worker 2 (14),nectarforaging,,,STATE,0.000,764.879,764.879,,
for	QF15	20181110	8,2018-11-10 08:00:27,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181110_081316.avi,51.080,25.0,Unknown worker,nectarforaging,,,STATE,0.000,50.802,50.802,,
for	QF15	20181116	16,2018-11-16 16:00:57,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181116_162728.avi,62.920,25.0,Unknown worker,nectarforaging,,,STATE,0.000,24.351,24.351,,
for	QF15	20181110	8,2018-11-10 08:00:27,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181110_081316.avi,51.080,25.0,No focal subject,pollenforaging,,,STATE,6.725,23.905,17.180,,
for	QF15	20181110	8,2018-11-10 08:00:27,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181110_081316.avi,51.080,25.0,No focal subject,nectarforaging,,,STATE,24.076,49.202,25.126,,
for	QF15	20181116	16,2018-11-16 16:00:57,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181116_162728.avi,62.920,25.0,Unknown worker,pollenforaging,,,STATE,25.626,62.666,37.040,,
nest	QF15	20181116	18,2018-11-16 18:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_nestQF15_1_20181116_181319.avi,61.200,25.0,Worker 3 (37),feedsbrood,,,POINT,34.281,34.281,NA,,
nest	QF15	20181110	8,2018-11-10 08:00:23,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_nestQF15_1_20181110_084853.avi,56.880,25.0,Worker 3 (37),feedsbrood,,,POINT,35.585,35.585,NA,,
for	QF15	20181115	3,2018-11-15 03:00:48,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181115_035945.avi,54.520,25.0,Unknown worker,nectarforaging,,,STATE,48.341,54.166,5.825,,
nest	QF15	20181108	17,2018-11-08 17:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF15/05_nestQF15_1_20181108_174828.avi,875.440,25.0,Worker 5 (78),feedsbrood,,,POINT,150.956,150.956,NA,,
nest	QF15	20181108	12,2018-11-08 12:00:30,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_nestQF15_1_20181108_123301.avi,811.440,25.0,Worker 5 (78),feedsbrood,,,POINT,172.164,172.164,NA,,
for	QF15	20181108	12,2018-11-08 12:00:44,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181108_123452.avi,766.120,25.0,Worker 3 (37),nectarforaging,,,STATE,401.284,429.277,27.993,,
for	QF15	20181108	12,2018-11-08 12:00:44,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF15/05_forQF15_1_20181108_123452.avi,766.120,25.0,Worker 3 (37),nectarforaging,,,STATE,672.215,680.744,8.529,,
