Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QT01	20180625	18,2018-06-25 18:00:31,G:/My Drive/AllRounds/QT/QT01/05_forQT01_1_20180625_182043.avi,3183.860,14.0,Worker 4 (92),nectarforaging,,,STATE,0.000,16.381,16.381,,
nest	QT01	20180703	20,2018-07-03 20:00:32,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180703_200154.avi,3401.400,25.0,Worker 4 (92),feedsbrood,,,POINT,12.105,12.105,NA,,
nest	QT01	20180702	11,2018-07-02 11:00:40,G:/My Drive/AllRounds/QT/QT01/05_nestQT01_1_20180702_114423.avi,3204.320,25.0,Worker 4 (92),feedsbrood,,,POINT,22.926,22.926,NA,,
for	QT01	20180625	18,2018-06-25 18:00:31,G:/My Drive/AllRounds/QT/QT01/05_forQT01_1_20180625_182043.avi,3183.860,14.0,Worker 4 (92),pollenforaging,,,STATE,49.119,67.994,18.875,,
nest	QT01	20180702	3,2018-07-02 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT01/05_nestQT01_1_20180702_034352.avi,3458.680,25.0,Worker 3 (34),feedsbrood,,,POINT,62.440,62.440,NA,,
for	QT01	20180625	18,2018-06-25 18:00:31,G:/My Drive/AllRounds/QT/QT01/05_forQT01_1_20180625_182043.avi,3183.860,14.0,Worker 4 (92),pollenforaging,,,STATE,79.544,145.131,65.587,,
nest	QT01	20180702	21,2018-07-02 21:00:26,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT01/05_nestQT01_1_20180702_214525.avi,3305.440,25.0,Worker 3 (34),feedsbrood,,,POINT,247.602,247.602,NA,,
nest	QT01	20180703	20,2018-07-03 20:00:32,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180703_200154.avi,3401.400,25.0,Worker 4 (92),feedsbrood,,,POINT,255.674,255.674,NA,,
nest	QT01	20180626	1,2018-06-26 01:00:33,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180626_010113.avi,3150.640,25.0,Worker 4 (92),other,,,STATE,280.978,298.626,17.648,queen (66) and wkr 92 being aggressive toward each other. queen is guarding what looks like an empty egg cup (but may be pollen with hole eaten in middle?),
for	QT01	20180702	11,2018-07-02 11:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT01/05_forQT01_1_20180702_114612.avi,3367.210,14.0,Unknown,nectarforaging,,,STATE,357.630,479.305,121.675,,
for	QT01	20180702	11,2018-07-02 11:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT01/05_forQT01_1_20180702_114612.avi,3367.210,14.0,Unknown,nectarforaging,,,STATE,1350.326,1527.575,177.249,,
for	QT01	20180702	11,2018-07-02 11:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT01/05_forQT01_1_20180702_114612.avi,3367.210,14.0,Unknown,nectarforaging,,,STATE,1689.451,1832.681,143.230,,
for	QT01	20180702	11,2018-07-02 11:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT01/05_forQT01_1_20180702_114612.avi,3367.210,14.0,Unknown,nectarforaging,,,STATE,2447.045,2593.786,146.741,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,pollenforaging,,,STATE,2802.560,2808.915,6.355,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,nectarforaging,,,STATE,2818.509,2853.539,35.030,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,nectarforaging,,,STATE,2869.438,2881.342,11.904,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,pollenforaging,,,STATE,2906.213,2924.765,18.552,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,pollenforaging,,,STATE,2956.814,3010.917,54.103,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,pollenforaging,,,STATE,3055.357,3076.787,21.430,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,pollenforaging,,,STATE,3129.959,3167.259,37.300,,
QT01	20180625	17,2018-06-25 17:00:19,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_forQT01_1_20180625_172014.avi,3195.210,14.0,No focal subject,nectarforaging,,,STATE,3189.510,3194.570,5.060,,
for	QT01	20180702	11,2018-07-02 11:00:54,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QT/QT01/05_forQT01_1_20180702_114612.avi,3367.210,14.0,Unknown,nectarforaging,,,STATE,3228.953,3366.239,137.286,,
