Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT12	20181108	14,2018-11-08 14:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_144615.avi,883.040,25.0,Worker 2 (77),feedsbrood,,,POINT,11.828,11.828,NA,,
nest	QT12	20181108	3,2018-11-08 03:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_032926.avi,1529.120,25.0,Worker 2 (77),feedsbrood,,,POINT,21.951,21.951,NA,,
for	QT12	20181113	6,2018-11-13 06:00:19,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT12/05_forQT12_1_20181113_060306.avi,59.440,25.0,Worker 2 (77),nectarforaging,,,STATE,48.563,59.053,10.490,,
nest	QT12	20181108	14,2018-11-08 14:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_144615.avi,883.040,25.0,Worker 1 (19),feedsbrood,,,POINT,97.179,97.179,NA,,
nest	QT12	20181108	14,2018-11-08 14:00:40,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_144615.avi,883.040,25.0,Worker 1 (19),feedsbrood,,,POINT,109.080,109.080,NA,,
nest	QT12	20181108	4,2018-11-08 04:00:38,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_042947.avi,929.880,25.0,Worker 2 (77),feedsbrood,,,POINT,200.123,200.123,NA,,
nest	QT12	20181107	16,2019-10-21 13:02:07,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181107_162805.avi,2176.960,25.0,Worker 3 (88),feedsbrood,,,POINT,209.869,209.869,NA,,
nest	QT12	20181108	6,2018-11-06 06:00:14,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_063012.avi,1675.600,25.0,Worker 2 (77),feedsbrood,,,POINT,431.199,431.199,NA,,
for	QT12	20181108	20,2018-11-08 20:00:32,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT12/05_forQT12_1_20181108_205019.avi,898.200,25.0,Worker 3 (88),pollenforaging,,,STATE,830.671,834.121,3.450,,
for	QT12	20181108	20,2018-11-08 20:00:32,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT12/05_forQT12_1_20181108_205019.avi,898.200,25.0,Worker 3 (88),nectarforaging,,,STATE,843.422,848.422,5.000,,
for	QT12	20181108	20,2018-11-08 20:00:32,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT12/05_forQT12_1_20181108_205019.avi,898.200,25.0,Worker 3 (88),nectarforaging,,,STATE,855.422,874.171,18.749,,
for	QT12	20181108	20,2018-11-08 20:00:32,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT12/05_forQT12_1_20181108_205019.avi,898.200,25.0,Worker 3 (88),nectarforaging,,,STATE,875.096,896.821,21.725,,
for	QT12	20181108	2,2018-11-08 02:00:07,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_forQT12_1_20181108_023102.avi,2222.160,25.0,No focal subject,pollenforaging,,,STATE,1295.845,1303.525,7.680,,
