COLONY,Q Natal,Q Pulled,QID,Gas1,Gas2,W Natal,W Pulled,WID,WID,WID,WID,WID,WID,Eggs,DaysToEggs,Larvae/Foraging,Frozen,EggsToEclosion,total time start to finish,Video1,Video2,Notes,Boris File Made
QA01,ES6,5.23.18,queen,6.4.18,6.5.18,,,,,,,,,6.22.18,17,6.26.18,7.22.18,30,47,78,13.14.15,gas 3 hr 1st day,Y
QA02,ES6,5.23.18,queen,6.4.18,6.5.18,,,,,,,,,6.19.18,14,6.23.18,7.23.18,34,48,7,14.15,gas 3 hr 1st day,Y
QA03,ES6,5.23.18,queen,6.4.18,6.5.18,,,,,,,,,6.26.18,21,6.30.18,7.23.18,27,48,789,14.15,gas 3 hr 1st day,Y
QA04,ES6,5.29.18,50,6.10.18,6.11.18,,,,,,,,,6.26.18,15,6.30.18,7.28.18,32,47,789,NA,,Y
QA05,ES6,5.29.18,32,6.10.18,6.11.18,,,,,,,,,6.26.18,15,6.30.18,7.25.18,29,44,789,14.15,missing left hind leg :(,Y
QT01,ES7,5.29.18,66,6.10.18,6.11.18,KE1,6.11.18,18,92,34,,,,6.18.18,7,6.22.18,7.22.18,34,41,789,13.14.15,aggression between wkr 92 and queen (66). queen lays eggs 2018.06.29 07:28:12,Y
QT02,ES6,5.30.18,85,6.11.18,6.12.18,KE1,6.12.18,2,11,40,,51,29,6.21.18,9,6.25.18,7.16.18,25,34,789,13.14.15,"2 dead workers 6/18 replaced 6/19 (51 & 29, gotten from video)",Y
QT03,ES6,6.1.18,8,6.13.18,6.14.18,KE1,6.14.18,2,67,39,,,,6.21.18,7,6.25.18,7.20.18,29,36,789,13.14.15,,Y
QT04,ES6,6.1.18,62,6.13.18,6.14.18,KE1,6.14.18,32,41,7,,,,6.22.18,8,6.26.18,7.29.18,37,45,789,13.14,,Y
QT05,xp,xp,xp,x,x,X,X,X,X,X,,,,X,,X,,,,X,X,,N
QF01,ES5,30-May,57,6.11.18,6.12.18,KE2,6.12.18,3,4,20,22,21,,6.21.18,9,6.25.18,7.18.18,27,36,78,13.14.15,seems like whole colony died but males eclosed,Y
QF02,ES6,6.1.18,12,6.13.18,6.14.18,KE2,6.14.18,48,75,26,13,56,,6.21.18,7,6.25.18,7.23.18,32,39,78,13.14.15,,Y
QF03,ES6,6.1.18,59,6.13.18,6.14.18,KE2,6.14.18,76,77,84,11,32,,6.21.18,7,6.25.18,7.17.18,26,33,78,13.14.15,"worker 25 added on 7/12 (KE2), removed on 7/16 --> (replaced x2 by accident), worker 11 added 6/15 10:30 am (rest 6/14 3pm-ish)",Y
QF04,ES6,6.2.18,54,6.14.18,6.15.18,KE2,6.15.18,58,96,72,60,81,,6.22.18,7,6.26.18,7.18.18,26,33,789,13.14,,Y
QF05,xp,xp,xp,x,x,X,X,X,X,X,X,X,,X,,X,,,,X,X,,N
NT01,,,,,,KE1,6.12.18,10,85,73,,,,6.20.18,8,6.24.18,7.22.18,32,40,9,13.14.15,missing,Y
NT02,,,,,,KE1,6.12.18,92,93,5,,,,6.21.18,9,6.25.18,7.18.18,27,36,9,13.14.15,,Y
NT03,,,,,,KE1,6.12.18,98,33,34,,,,6.21.18,9,6.25.18,7.20.18,29,38,89,13.14.15,,Y
NT04,  ,,,,,KE1,6.13.18,49,25,70,,,,6.21.18,8,6.25.18,7.20.18,29,37,89,13.14.15,,Y
NT05,,,,,,KE1,6.13.18,44,43,42,,,,6.22.18,9,6.26.18,7.22.18,30,39,89,13.14.15,,Y
NF01,,,,,,KE3,6.12.18,35,6,4,13,82,,6.20.18,8,6.24.18,7.19.18,29,37,789,13.14.15,,Y
NF02,,,,,,KE3,6.13.18,1,30,77,5,26,,6.19.18,6,6.23.18,7.16.18,27,33,NA,14.15,,Y
NF03,,,,,,KE3,6.12.18,29,14,73,8,90,75,6.20.18,8,6.24.18,7.18.18,28,36,789,13.14.15,"18, 14, 75, 90, worker 28 added on 7/12 (KE2)",Y
NF04,,,,,,KE3,6.14.18,40,74,61,92,44,,6.22.18,8,6.26.18,7.20.18,28,36,7,13.14.15,,Y
NF05,,,,,,KE3,6.14.18,83,82,45,46,23,,6.21.18,7,6.25.18,7.25.18,34,41,89,13.14.15,,Y
