COLONY,Q Natal,Q Pulled,QID,Gas1,Gas2,W Natal,W Pulled,WID,WID,WID,WID,WID,WID,Laid Eggs,DaysToEggs,Larvae/Foraging,Males/Frozen,EggsToEclosion,total time start to finish,Video1,Video2,Notes,Boris File Made
QA11,R31,10.10.18,97,10.22.2018,10.23.2018,,,,,,,,,11.5.2018,13,11.9.2018,12.19.18,44,57,11.12_11.14,11.18_11.20,,
QA12,R32,10.11.18,91,10.23.2018,10.24.2018,,,,,,,,,11.6.2018,13,11.10.2018,12.07.18,31,44,11.13_11.15,11.19_11.21,,
QA13,R32,1.12.2018,31,10.24.2018,10.25.2018,,,,,,,,,11.6.2018,12,11.10.2018,NA,NA,#VALUE!,,,,
QA14,R32,10.13.2018,54,10.25.2018,10.26.2018,,,,,,,,,11.4.2018,9,11.8.2018,NA,,9,,,,
QA15,R32,10.13.2018,98,10.25.2018,10.26.2018,,,,,,,,,Died,,,NA,,0,,,,
QT11,R32,10.10.2018,95,10.22.2018,10.23.2018,R34,10.23.2018,55,80,71,,,,11.5.2018,23,11.9.2018,11.26.18,21,44,11.22_11.24,11.28_11.30,worker 71 lost tag (before 11/14),
QT12,R32,10.11.2018,93,10.23.2018,10.24.2018,R33,10.24.2018,88,19,77,,,,10.31.2018,7,11.5.2018,11.26.18,26,33,11.7_11.9,11.13_11.15,,
QT13,R32,10.12.2018,45,10.24.2018,10.25.2018,R33,10.25.2018,3,99,47,,,,11.1.2018,7,11.5.2018,12.01.18,30,37,11.8_11.10,11.14_11.16,,
QT14,R32,10.13.2018,97,10.25.2018,10.26.2018,R34,10.26.2018,5,42,17,,,,11.3.2018,8,11.7.2018,12.04.18,31,39,11.10_11.12,11.16_11.18,,
QT15,R32,10.13.2018,81,10.25.2018,10.26.2018,R35,10.26.2018,24,66,57,,,,11.3.2018,8,11.7.2018,12.01.18,28,36,11.10_11.12,11.16_11.18,,
QT16,R31,10.17.2018,26,10.29.2018,10.30.2018,R35,10.30.2018,52,29,30,,,,11.9.2018,10,11.14.2018,NA,Died,#VALUE!,,,,
QF11,R32,10.10.2018,98,10.22.2018,10.23.2018,R33,10.23.2018,52,42,17,65,9,,11.5.18,13,11.9.2018,11.30.18,25,38,11.12_11.14,11.18_11.20,,
QF12,R31,10.12.2018,35,10.24.2018,10.25.2018,R34,10.25.2018,10,9,18,44,72,,10.31.2018,6,11.5.2018,11.27.18,27,33,11.7_11.9,11.13_11.15,,
QF13,R32,10.13.2018,36,10.25.2018,10.26.2018,R33,10.26.2018,48,1,53,92,19,,11.1.2018,6,11.5.2018,NA,Died,#VALUE!,,,,
QF14,R32,10.13.2018,63,10.25.2018,10.26.2018,R34,10.26.2018,91,23,87,40,75,,11.6.2018,11,11.10.2018,11.30.18,24,35,11.13_11.15,11.19_11.21,,
QF15,R32,10.13.2018,90,10.25.2018,10.26.2018,R35,10.26.2018,14,59,37,78,8,,11.1.2018,6,11.5.2018,11.30.18,29,,11.8_11.10,11.14_11.16,,
QF16,R32,10.17.2018,62,10.29.2018,10.30.2018,R35,10.30.2018,21,39,50,74,95,,11.1.2018,2,11.5.2018,12.07.18,36,,11.8_11.10,11.14_11.16,,
NT11,,,,,,R33,10.26.2018,71,35,61,,,,11.2.2018,7,11.6.2018,12.03.18,31,38,11.9_11.11,11.15_11.17,"35 tag mostly wax covered, 61 nearly entirely wax covered on 1115",
NT12,,,,,,R34,10.29.2018,14,15,32,,,,11.3.2018,5,11.7.2018,12.12.18,39,44,11.10_11.12,11.16_11.18,,
NT13,,,,,,R33,10.29.2018,99,56,27,,,,11.6.2018,8,11.10.2018,12.14.18,38,46,11.13_11.15,11.19_11.21,,
NT14,,,,,,R35,10.29.2018,83,19,65,,,,11.7.2018,9,11.11.2018,12.13.18,36,45,11.14_11.16,11.20_11.22,,
NT15,,,,,,R35,10.30.2018,51,60,38,,,14,11.8.2018,9,11.12.2018,12.17.18,39,48,11.15_11.17,11.21_11.23,,
NT16,,,,,,R34,10.30.2018,28,94,31,,,,11.5.2018,6,11.9.2018,12.01.18,26,,11.12_11.14,11.18_11.20,,
NF11,,,,,,R33,10.26.2018,7,33,16,49,20,,11.3.2018,8,11.7.2018,11.30.18,27,35,11.10_11.12,11.16_11.18,,
NF12,,,,,,R35,10.29.2018,25,13,41,70,89,,11.5.2018,7,11.9.2018,NA,Died,#VALUE!,,,,
NF13,,,,,,R34,10.30.2018,34,55,69,79,80,,11.16.2018,17,11.10.2018,NA,Died,#VALUE!,,,,
