nestID,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,larvae,blackLarvae,pupae,males,prePupae,notes,dissectDate,initials
NF01,4,7,,,,,,,,,,,18,5,9,4,3,1 squished larva/pupa,20181004,ES
NF02,0,,,,,,,,,,,,19,0,16,3,0,,20181005,DR
NF04,5,4,3,2,,,,,,,,,22,2,16,1,1,,20181004,ES
NF05,3,2,2,3,,,,,,,,,29,3,4,7,4,,20181005,KF
NF06,0,,,,,,,,,,,,19,1,12,1,3,,20180927,KF
NF07,4,2,4,4,3,3,4,2,,,,,,,,3,,EP - 2 SMUSHED L IN TUBE,20180924,KF
NF10,4,2,3,2,5,3,3,,,,,,21,6,8,3,2,,20180924,KF
NF11,6,4,3,5,4,4,5,4,4,4,5,4,26,1,7,2,,,20190114,ES
NT02,3,,,,,,,,,,,,42,8,13,3,3,1 weird pupa...melting?,20181004,ES
NT03,4,2,4,,,,,,,,,,25,0,7,1,0,,20181005,KF
NT04,3,3,3,4,4,,,,,,,,8,1,7,1,2,,20181004,ES
NT05,4,1,1,,,,,,,,,,23,3,13,2,1,2 of 23 larvae inside egg cup with 1 egg; 2 of 13 pupae weird things,20181004,ES
NT06,5,4,3,4,,,,,,,,,21,0,15,2,0,,20180925,ES
NT07,3,2,4,4,,,,,,,,,24,4,6,1,1,,20180920,KF
NT08,6,6,4,4,4,5,5,5,,,,,29,3,4,2,5,,20180920,ES
NT10,5,5,6,4,4,4,5,,,,,,50,0,10,4,0,,20180925,ES
NT11,3,2,4,4,4,3,3,3,4,,,,16,0,0,1,,,20190114,ES
NT12,3,5,4,3,6,4,4,4,3,,,,1,1,7,2,,,20190114,BO
NT13,4,3,2,2,2,3,2,4,4,5,,,14,3,12,1,,1 larvae was distroyed sorry,20190116,BO
NT14,3,1,2,3,2,2,,,,,,,8,4,6,1,,,20190114,DR
NT15,3,3,5,3,,,,,,,,,17,0,4,1,,,20190114,ES
NT16,3,3,,,,,,,,,,,10,0,1,1,,,20190116,BO
QA01,4,4,4,,,,,,,,,,18,2,6,1,1,,20181003,KF
QA02,3,2,4,,,,,,,,,,20,0,0,1,2,,20180927,KF
QA03,2,2,,,,,,,,,,,17,0,3,1,0,,20180927,KF
QA04,5,4,5,,,,,,,,,,39,0,4,2,0,weird larva thing,20181003,KF
QA05,6,1,6,6,5,,,,,,,,33,1,6,2,0,1 egg cup found with larvae as well,20181003,ES
QA06,5,4,3,3,2,3,,,,,,,38,0,5,1,3,,20180920,KF
QA07,5,5,4,5,4,,,,,,,,14,3,7,1,2,,20180920,ES
QA09,3,5,,,,,,,,,,,20,4,4,2,1,,20180924,KF
QA10,3,3,4,,,,,,,,,,30,3,6,3,1,,20180920,KF
QA11,,,,,,,,,,,,,21,0,1,1,,,20190116,BO
QA12,3,,,,,,,,,,,,5,7,0,1,,,20190116,BO
QA13,2,2,4,3,,,,,,,,,0,0,0,na,,,20190116,BO
QA14,4,2,4,,,,,,,,,,0,0,0,na,,collected early too slow,20190116,BO
QF01,4,6,2,,,,,,,,,,30,0,4,1,0,frozen 7/19/18; check for early wax cups,20181005,KF
QF02,4,4,6,5,5,5,5,5,,,,,17,3,13,1,7,,20181003,ES
QF03,2,5,,,,,,,,,,,15,1,13,1,0,,20181005,DR
QF04,5,4,7,5,,,,,,,,,37,0,8,1,0,2 of 37 larvae were inside egg cup with 4 eggs,20181003,ES
QF06,4,6,,,,,,,,,,,24,15,21,6,3,,20180925,ES
QF07,6,10,,,,,,,,,,,56,0,20,2,3,,20180926,ES
QF09,7,5,6,,,,,,,,,,27,0,14,1,2,,20180925,ES
QF10,5,4,5,5,5,6,6,,,,,,12,0,6,2,13,,20180925,ES
QF11,5,6,6,,,,,,,,,,42,1,8,2,,may have miscounted # larvae,20190117,CM
QF12,5,4,5,,,,,,,,,,34,0,11,3,,,20190116,BO
QF14,5,7,,,,,,,,,,,63,1 black pupa,10,2,,,20190119,ES
QF15,,,,,,,,,,,,,33,1,11,1,,,20190117,AV
QF16,5,4,5,,,,,,,,,,33,0,16,1,,1 pupa smushed & in 2 pieces,20190119,ES
QT01,4,4,5,4,4,,,,,,,,17,3,0,1,0,,20181003,ES
QT02,8,,,,,,,,,,,,28,1,9,4,2,,20180927,KF
QT03,4,,,,,,,,,,,,49,4,7,1,1,weird thing - pupa with black shriveled head?,20181003,ES
QT04,1,4,3,7,,,,,,,,,20,0,7,1,3,3 wax cups on pollen ball w/o eggs,20181004,ES
QT06,4,2,2,3,3,,,,,,,,0,0,0,0,0,dead colony,20180924,KF
QT07,4,3,,,,,,,,,,,15,3,9,2,3,,20180920,ES
QT08,7,9,,,,,,,,,,,20,4,20,7,0,confusion between QT08 & QF08. recount,20180927,DR
QT11,6,6,4,4,6,,,,,,,,30,0,1,2,,,20190119,ES
QT12,2,4,1,4,3,4,2,4,3,3,,,14,0,6,2,,,20190119,ES
QT13,NA,,,,,,,,,,,,10,3,19,2,,,20190119,ES
QT14,4,5,4,,,,,,,,,,26,1,1,1,,,20190117,AV
QT15,5,5,3,7,5,5,5,,,,,,34,0,15,,,1 pupa smushed & in 4 pieces,20190119,ES
