,,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 1 (13),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 3 (26),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 4 (48),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 5 (56),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Worker 6 (75),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
,,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
QF02	20180629	19,3217.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF02	20180630	3,3440.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF02	20180705	1,3252.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF02	20180706	0,3416.720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QF02	20180706	1,3486.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180628	14,2795.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.403,1,10.403,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180628	21,2855.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.506,1,190.506,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180628	9,3073.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.327,1,135.327,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180628       0,2933.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180629	10,2823.280,0,0,0,0,0,177.497,1,177.497,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.831,1,27.831,0,0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934.263,14,66.733,56.861,0.331,25.751,3,8.584,7.158,0.009
for	QF02	20180629	12,2842.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.970,3,21.990,33.825,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.723,19,36.670,29.609,0.245,141.341,1,141.341,0,0.050,0,0,0,0,0,1.996,1,1.996,0,0.001,380.131,10,38.013,52.379,0.134
for	QF02	20180630	23,3355.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180630	8,3191.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.219,3,66.406,54.468,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457.891,6,242.982,54.264,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180704	21,3211.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180704	22,3201.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180704	4,3342.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180704	9,3265.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.356,5,46.271,49.075,0.071,0,0,0,0,0,0,0,0,0,0,170.104,3,56.701,47.228,0.052,0,0,0,0,0,0,0,0,0,0,642.110,2,321.055,134.562,0.197,827.468,4,206.867,351.668,0.253
for	QF02	20180705	16,3303.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.050,1,163.050,0,0.049,0,0,0,0,0,0,0,0,0,0,535.068,19,28.161,29.320,0.162,677.664,13,52.128,51.843,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180705	17,3302.960,0,0,0,0,0,496.015,11,45.092,51.877,0.150,141.899,5,28.380,23.883,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180705	3,3324.680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.425,1,118.425,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF02	20180706	10,3302.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.543,11,44.595,94.313,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532.239,10,153.224,113.060,0.464,0,0,0,0,0,0,0,0,0,0,2477.702,16,154.856,167.417,0.750,0,0,0,0,0,0,0,0,0,0,1.926,1,1.926,0,0.001,528.788,8,66.098,64.601,0.160
for	QF02	20180706	11,1443.880,0,0,0,0,0,83.098,3,27.699,41.745,0.058,184.746,9,20.527,21.179,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.570,1,2.570,0,0.002,0,0,0,0,0,0,0,0,0,0,98.897,11,8.991,7.276,0.068,0,0,0,0,0,0,0,0,0,0,0.372,1,0.372,0,0.000,25.128,3,8.376,2.250,0.017
for	QF02	20180706	2,3317.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT11	20181119	21,1730.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
