,,Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 1 (7),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41),Worker 4 (41)
,,eatsbrood,eatsbrood,eatsbrood,eatsbrood,eatsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,other,other,other,other,other,eatsbrood,eatsbrood,eatsbrood,eatsbrood,eatsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,other,other,other,other,other
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
QT04	20180630	8,3195.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QT04	20180630	9,3198.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QT04	20180701	9,3375.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180629	10,2833.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180629	11,2945.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180629	20,3352.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180629	6,2852.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180630	19,3334.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180630	3,3432.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180705	19,3454.850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180705	21,3454.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180705	6,4727.620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180705	8,3184.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180705	9,3289.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180706	2,3435.230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180706	4,3463.460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QT04	20180706	6,5313.690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180629	10,2820.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180629	11,2881.720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180629	14,3042.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.723,1,56.723,0,0.019
nest	QT04	20180629	20,3387.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.705,1,59.705,0,0.018,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180629	6,2833.200,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180630	21,3210.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180630	3,3463.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180630	8,3196.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180630	9,3214.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180705	19,3373.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180705	6,3278.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180705	8,3171.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180705	9,3307.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180706	1,3516.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180706	2,3333.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180706	4,3347.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180706	6,3274.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT04	20180706	7,3236.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
