Worker ID,Microcolony ID,Date,Wing 1 (mm),Wing 2 (mm),Avg. (mm)
93,NT02,22-Jan,3.2,3.3,3.25
5,NT03,22-Jan,3,3,3
92,NT04,22-Jan,3.1,3.2,3.15
34,NT03,22-Jan,3,3,3
33,NT04,22-Jan,2.3,2.3,2.3
98,NT05,22-Jan,2.6,2.7,2.65
49,NT04,22-Jan,2.2,2.3,2.25
25,NT05,22-Jan,2.6,2.7,2.65
70,NT06,22-Jan,2.4,2.4,2.4
42,NT05,23-Jan,2.5,2.6,2.55
43,NT05,23-Jan,2.5,2.5,2.5
44,NT05,23-Jan,2.7,2.6,2.65
13,NT06,23-Jan,2.8,2.7,2.75
38,NT06,23-Jan,2.6,2.6,2.6
67,NT06,23-Jan,2.6,2.6,2.6
68,NT07,23-Jan,2.6,2.6,2.6
2,NT07,23-Jan,2.8,2.7,2.75
49,NT07,23-Jan,3,3.1,3.5
40,NT08,23-Jan,2.5,2.5,2.5
50,NT08,23-Jan,2.2,2.2,2.2
55,NT08,23-Jan,2.5,2.5,2.5
6,NT10,23-Jan,2.9,2.9,2.9
7,NT10,23-Jan,2.6,2.6,2.6
18,NT10,23-Jan,2.9,2.9,2.9
4,NF01,28-Jan,2.8,2.8,2.8
6,NF01,28-Jan,2.8,2.9,2.85
13,NF01,28-Jan,3,3,3
35,NF01,28-Jan,3,2.9,2.95
82,NF01,28-Jan,2.7,2.7,2.7
1,NF02,28-Jan,2.6,2.6,2.6
5,NF02,28-Jan,2.7,2.7,2.7
26,NF02,28-Jan,2.9,3,2.95
30,NF02,28-Jan,3,3,3
77,NF02,28-Jan,2.6,2.5,2.55
14,NF03,28-Jan,2.7,2.7,2.7
18,NF03,28-Jan,2.7,2.8,2.75
28,NF03,28-Jan,3,3,3
75,NF03,28-Jan,2.9,2.8,2.85
90,NF03,28-Jan,NA,NA,cell missing
40,NF04,28-Jan,2.5,2.5,2.5
44,NF04,28-Jan,2.6,2.6,2.6
74,NF04,28-Jan,2.8,2.8,2.8
61,NF04,28-Jan,2.9,2.9,2.9
92,NF04,28-Jan,2.6,2.6,2.6
23,NF05,28-Jan,2.7,2.7,2.7
45,NF05,28-Jan,2.8,2.8,2.8
46,NF05,28-Jan,2.8,2.8,2.8
82,NF05,28-Jan,2.6,2.6,2.6
83,NF05,28-Jan,2.7,2.7,2.7
76,NF06,30-Jan,2.7,2.6,2.65
