"","X","nestID","nestTYPE","beeID","caste","natal","beeType","addDate","diedDate","nectarforaging","feedsbrood","pollenforaging","egglaying","nBehavs","size","ovL1","ovL2","ovLavg","ovR1","ovR2","ovRavg","ovS1","ovS2","ovSavg","queen","nWork","nBees","lazy","allforaging","shannon","specBehav","specProp","BehavAssign","perfSpec","NF","PF","FB","EL"
"1",1,"NF01","NF","NF0182","W","KE3","orig",NA,NA,13,22,0,0,35,2.7,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",6,0.659711615178473,"generalist",0.628571428571429,"feedsbrood",NA,"yes","no","yes","no"
"2",2,"NF01","NF","NF014","W","KE3","orig",NA,NA,33,8,65,0,106,2.8,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",17,0.858198958215379,"generalist",0.613207547169811,"pollenforaging",NA,"yes","yes","yes","no"
"3",3,"NF01","NF","NF0135","W","KE3","orig",NA,NA,0,20,0,0,20,2.95,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"4",4,"NF01","NF","NF016","W","KE3","orig",NA,NA,13,6,0,0,19,2.85,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",6,0.623654849568108,"generalist",0.684210526315789,"nectarforaging",NA,"yes","no","yes","no"
"5",5,"NF01","NF","NF0113","W","KE3","orig",NA,NA,4,8,0,65,77,3,5.1,5.2,5.15,0,0,0,3.5,3.5,3.5,"queenless",5,5,"notLazy",2,0.531910846254532,"egglaying",0.844155844155844,"egglaying",NA,"yes","no","yes","yes"
"6",6,"NF02","NF","NF0230","W","KE3","orig",NA,NA,41,0,54,54,149,3,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",23,1.09074676390641,"generalist",0.36241610738255,"pollenforaging",NA,"yes","yes","no","yes"
"7",7,"NF02","NF","NF0226","W","KE3","orig",NA,NA,9,7,0,0,16,2.95,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",4,0.685314207276458,"generalist",0.5625,"nectarforaging",NA,"yes","no","yes","no"
"8",8,"NF02","NF","NF025","W","KE3","orig",NA,NA,0,14,0,0,14,2.7,NA,NA,0,0,0,0,2,1,1.5,"queenless",5,5,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"9",9,"NF02","NF","NF021","W","KE3","replac",20180702,NA,0,25,0,0,25,2.6,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
"10",10,"NF02","NF","NF0277","W","KE3","orig",NA,NA,2,7,0,0,9,2.55,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",1,0.529706199057654,"feedsbrood",0.777777777777778,"feedsbrood",NA,"yes","no","yes","no"
"11",11,"NF03","NF","NF0314","W","KE3","orig",NA,NA,35,19,7,19,80,2.7,4.2,5.3,4.75,0,0,0,3.5,3.5,3.5,"queenless",5,5,"notLazy",28,1.25768620462586,"generalist",0.4375,"nectarforaging",NA,"yes","yes","yes","yes"
"12",13,"NF03","NF","NF0390","W","KE3","orig",NA,NA,0,19,31,19,69,NA,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",4,1.06972556912821,"generalist",0.449275362318841,"pollenforaging",NA,"no","yes","yes","yes"
"13",14,"NF04","NF","NF0461","W","KE3","orig",NA,NA,25,0,12,0,37,2.9,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",20,0.630086144558791,"generalist",0.675675675675676,"nectarforaging",NA,"yes","yes","no","no"
"14",15,"NF04","NF","NF0474","W","KE3","orig",NA,NA,4,28,6,0,38,2.8,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",4,0.753442461180238,"generalist",0.736842105263158,"feedsbrood",NA,"yes","yes","yes","no"
"15",16,"NF04","NF","NF0444","W","KE3","orig",NA,NA,12,14,0,0,26,2.6,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",9,0.690185676018804,"generalist",0.538461538461538,"feedsbrood",NA,"yes","no","yes","no"
"16",18,"NF05","NF","NF0582","W","KE3","orig",NA,NA,6,8,0,0,14,2.6,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",3,0.682908104700472,"generalist",0.571428571428571,"feedsbrood",NA,"yes","no","yes","no"
"17",19,"NF05","NF","NF0546","W","KE3","orig",NA,NA,11,0,0,20,31,2.8,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",5,0.650390640876698,"generalist",0.645161290322581,"egglaying",NA,"yes","no","no","yes"
"18",20,"NF05","NF","NF0583","W","KE3","orig",NA,NA,0,8,0,10,18,2.7,6.2,5.4,5.8,0,0,0,4,4,4,"queenless",5,5,"notLazy",0,0.686961576597323,"generalist",0.555555555555556,"egglaying",NA,"no","no","yes","yes"
"19",21,"NF05","NF","NF0545","W","KE3","orig",NA,NA,11,11,0,0,22,2.8,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",5,0.693147180559945,"generalist",0.5,"nectarforaging",NA,"yes","no","yes","no"
"20",23,"NF06","NF","NF0695","W","VB02","orig",NA,NA,5,9,0,22,36,2.6,6.1,5.7,5.9,1,1,1,4,4,4,"queenless",5,5,"notLazy",2,0.921709362565015,"generalist",0.611111111111111,"egglaying",NA,"yes","no","yes","yes"
"21",24,"NF06","NF","NF068","W","VB02","orig",NA,NA,19,3,4,0,26,2.4,4.8,3.8,4.3,0,1,0.5,3.5,4,3.75,"queenless",5,5,"notLazy",8,0.766352118227395,"generalist",0.730769230769231,"nectarforaging",NA,"yes","yes","yes","no"
"22",26,"NF06","NF","NF0676","W","VB02","orig",NA,NA,8,9,0,0,17,2.65,NA,NA,0,1,1,1,4,4,4,"queenless",5,5,"notLazy",3,0.691416077617118,"generalist",0.529411764705882,"feedsbrood",NA,"yes","no","yes","no"
"23",27,"NF06","NF","NF0661","W","VB02","orig",NA,NA,0,3,28,11,42,2.5,NA,NA,0,0,0,0,1,1,1,"queenless",5,5,"notLazy",7,0.809707448004985,"generalist",0.666666666666667,"pollenforaging",NA,"no","yes","yes","yes"
