Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	NF05	20180630	19,2019-12-06 09:53:53,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180630_193829.avi,3542.360,14.0,Worker 4 (82),feedsbrood,,,POINT,12.604,12.604,NA,,
nest	NF05	20180630	19,2019-12-06 09:53:53,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180630_193829.avi,3542.360,14.0,Worker 4 (82),feedsbrood,,,POINT,25.879,25.879,NA,,
for	NF05	20180630	3,2018-06-30 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180630_033723.avi,3383.160,25.0,Worker 3 (46),nectarforaging,,,STATE,29.740,220.730,190.990,,
nest	NF05	20180630	19,2019-12-06 09:53:53,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180630_193829.avi,3542.360,14.0,Worker 4 (82),feedsbrood,,,POINT,37.802,37.802,NA,,
nest	NF05	20180706	11,2018-07-06 11:00:06,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180706_110146.avi,3596.210,14.0,Worker 5 (83),feedsbrood,,,POINT,41.626,41.626,NA,,
nest	NF05	20180630	19,2019-12-06 09:53:53,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180630_193829.avi,3542.360,14.0,Worker 4 (82),feedsbrood,,,POINT,54.104,54.104,NA,,
nest	NF05	20180705	16,2018-07-05 16:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/NF/NF05/05_nestNF05_1_20180705_160114.avi,3594.290,14.0,Worker 2 (45),feedsbrood,,,POINT,66.329,66.329,NA,,
nest	NF05	20180706	4,2018-07-06 04:00:36,G:/My Drive/AllRounds/NF/NF05/05_nestNF05_1_20180706_040135.avi,3588.000,14.0,Worker 2 (45),feedsbrood,,,POINT,69.709,69.709,NA,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 1 (23),nectarforaging,,,STATE,75.506,259.839,184.333,,
nest	NF05	20180705	14,2018-07-05 14:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh & Erica's Awesome Summer Experiments/Videos/*Round1/NF/NF05/05_nestNF05_1_20180705_140110.avi,3593.930,14.0,Worker 2 (45),feedsbrood,,,POINT,134.475,134.475,NA,,
nest	NF05	20180706	11,2018-07-06 11:00:06,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180706_110146.avi,3596.210,14.0,Worker 1 (23),feedsbrood,,,POINT,137.026,137.026,NA,,
nest	NF05	20180704	16,2018-07-04 16:00:37,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF05/05_nestNF05_1_20180704_160031.avi,3598.640,14.0,Worker 3 (46),fillshoneypot,,,POINT,147.301,147.301,NA,,
nest	NF05	20180706	4,2018-07-06 04:00:36,G:/My Drive/AllRounds/NF/NF05/05_nestNF05_1_20180706_040135.avi,3588.000,14.0,Worker 2 (45),feedsbrood,,,POINT,161.433,161.433,NA,,
nest	NF05	20180706	11,2018-07-06 11:00:06,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180706_110146.avi,3596.210,14.0,Worker 5 (83),feedsbrood,,,POINT,190.290,190.290,NA,,
nest	NF05	20180705	14,2018-07-05 14:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh & Erica's Awesome Summer Experiments/Videos/*Round1/NF/NF05/05_nestNF05_1_20180705_140110.avi,3593.930,14.0,Worker 2 (45),feedsbrood,,,POINT,208.900,208.900,NA,,
nest	NF05	20180706	11,2018-07-06 11:00:06,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_nestNF05_1_20180706_110146.avi,3596.210,14.0,Worker 5 (83),feedsbrood,,,POINT,264.065,264.065,NA,,
for	NF05	20180630	3,2018-06-30 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180630_033723.avi,3383.160,25.0,Worker 3 (46),nectarforaging,,,STATE,269.080,413.682,144.602,,
nest	NF05	20180704	13,2018-07-04 13:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF05/05_nestNF05_1_20180704_130024.avi,3592.290,14.0,Worker 5 (83),feedsbrood,,,POINT,291.254,291.254,NA,,
for	NF05	20180630	3,2018-06-30 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180630_033723.avi,3383.160,25.0,Worker 3 (46),nectarforaging,,,STATE,883.644,1054.968,171.324,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 2 (45),nectarforaging,,,STATE,1168.511,1297.588,129.077,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 2 (45),nectarforaging,,,STATE,1335.766,1351.815,16.049,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 2 (45),nectarforaging,,,STATE,1363.915,1386.085,22.170,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 2 (45),nectarforaging,,,STATE,1416.627,1420.651,4.024,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 2 (45),nectarforaging,,,STATE,1426.676,1484.001,57.325,,
for	NF05	20180630	3,2018-06-30 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180630_033723.avi,3383.160,25.0,Worker 3 (46),nectarforaging,,,STATE,1476.554,1629.377,152.823,,
for	NF05	20180630	3,2018-06-30 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180630_033723.avi,3383.160,25.0,Worker 3 (46),nectarforaging,,,STATE,1869.289,2049.634,180.345,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 4 (82),nectarforaging,,,STATE,2369.040,2467.837,98.797,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 4 (82),nectarforaging,,,STATE,2532.284,2594.665,62.381,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 4 (82),nectarforaging,,,STATE,2713.869,2721.919,8.050,,
for	NF05	20180705	8,2018-07-05 08:00:34,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_080055 (1).avi,3600.080,25.0,Worker 4 (82),nectarforaging,,,STATE,2727.964,2742.065,14.101,,
for	NF05	20180630	3,2018-06-30 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180630_033723.avi,3383.160,25.0,Worker 2 (45),nectarforaging,,,STATE,2914.594,3043.298,128.704,,
for	NF05	20180705	16,2018-07-05 16:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF05/05_forNF05_1_20180705_160108 (1).avi,3601.960,25.0,No focal subject,fillshoneypot,,,POINT,3601.727,3601.727,NA,,
