Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NT11	20181110	1,2018-11-10 01:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181110_013754.avi,873.080,25.0,Worker 1 (35),nectarforaging,,,STATE,3.177,29.570,26.393,,
for	NT11	20181111	16,2018-11-11 16:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_164838.avi,984.960,25.0,Worker 2 (61),nectarforaging,,,STATE,26.328,58.459,32.131,,
for	NT11	20181110	14,2018-11-10 14:00:56,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NT/NT11/05_forNT11_1_20181110_144155.avi,1266.680,25.0,Worker 1 (35),nectarforaging,,,STATE,32.080,75.986,43.906,,
for	NT11	20181111	6,2018-11-11 06:00:08,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_064535.avi,1239.680,25.0,Worker 1 (35),nectarforaging,,,STATE,56.766,100.495,43.729,,
nest	NT11	20181117	4,2018-11-17 04:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_nestNT11_1_20181117_042408.avi,857.640,25.0,Worker 1 (35),feedsbrood,,,POINT,75.897,75.897,NA,,
nest	NT11	20181109	3,2018-11-09 03:00:49,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT11/05_nestNT11_1_20181109_033328.avi,1814.040,25.0,Worker 2 (61),feedsbrood,,,POINT,77.586,77.586,NA,,
nest	NT11	20181116	22,2018-11-16 22:00:58,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_nestNT11_1_20181116_222120.avi,710.200,25.0,Worker 3 (71),feedsbrood,,,POINT,80.026,80.026,NA,,
nest	NT11	20181111	20,2019-03-12 14:09:35,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_nestNT11_1_20181111_201829.avi,1237.680,25.0,Worker 3 (71),feedsbrood,,,POINT,86.596,86.596,NA,,
for	NT11	20181111	16,2018-11-11 16:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_164838.avi,984.960,25.0,Worker 2 (61),nectarforaging,,,STATE,89.210,129.559,40.349,,
for	NT11	20181111	6,2018-11-11 06:00:08,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_064535.avi,1239.680,25.0,Worker 1 (35),nectarforaging,,,STATE,101.649,136.324,34.675,,
for	NT11	20181116	22,2018-11-16 22:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181116_222045.avi,705.480,25.0,Worker 1 (35),nectarforaging,,,STATE,116.606,173.716,57.110,,
for	NT11	20181110	7,2018-11-10 07:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181110_073934.avi,1151.320,25.0,No focal subject,nectarforaging,,,STATE,118.201,146.024,27.823,,
nest	NT11	20181111	16,2018-11-11 16:00:58,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_nestNT11_1_20181111_164502.avi,934.480,25.0,Worker 1 (35),fillshoneypot,,,POINT,144.467,144.467,NA,"looked like she moved honey from one pot to another. i didn't see her forage/leave the nest, but video is skippy so it's possible she did",
for	NT11	20181117	2,2018-11-17 02:00:55,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NT/NT11/05_forNT11_1_20181117_022235.avi,680.200,25.0,Worker 2 (61),nectarforaging,,,STATE,146.162,152.320,6.158,,
for	NT11	20181111	16,2018-11-11 16:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_164838.avi,984.960,25.0,Worker 2 (61),nectarforaging,,,STATE,155.855,188.815,32.960,,
for	NT11	20181110	7,2018-11-10 07:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181110_073934.avi,1151.320,25.0,No focal subject,nectarforaging,,,STATE,183.138,220.233,37.095,,
for	NT11	20181111	16,2018-11-11 16:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_164838.avi,984.960,25.0,Worker 2 (61),nectarforaging,,,STATE,215.536,251.035,35.499,,
for	NT11	20181110	14,2018-11-10 14:00:56,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/NT/NT11/05_forNT11_1_20181110_144155.avi,1266.680,25.0,Worker 2 (61),nectarforaging,,,STATE,236.675,260.599,23.924,,
nest	NT11	20181117	4,2018-11-17 04:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_nestNT11_1_20181117_042408.avi,857.640,25.0,Worker 1 (35),feedsbrood,,,POINT,257.902,257.902,NA,,
for	NT11	20181115	18,2018-11-15 18:00:10,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181115_180253.avi,1264.240,25.0,Worker 2 (61),nectarforaging,,,STATE,266.450,309.711,43.261,,
for	NT11	20181111	16,2018-11-11 16:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_164838.avi,984.960,25.0,Worker 2 (61),nectarforaging,,,STATE,288.174,320.180,32.006,,
for	NT11	20181117	15,2018-11-17 15:00:13,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181117_152703.avi,795.280,25.0,Worker 1 (35),nectarforaging,,,STATE,300.488,326.086,25.598,,
for	NT11	20181111	16,2018-11-11 16:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_164838.avi,984.960,25.0,Worker 1 (35),nectarforaging,,,STATE,320.584,331.652,11.068,,
for	NT11	20181116	9,2018-11-16 09:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181116_090906.avi,834.920,25.0,Worker 2 (61),nectarforaging,,,STATE,328.239,355.910,27.671,,
for	NT11	20181111	16,2018-11-11 16:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/NT/NT11/05_forNT11_1_20181111_164838.avi,984.960,25.0,Worker 2 (61),nectarforaging,,,STATE,346.501,383.101,36.600,,
