Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
QA09	20180815	13,2018-08-15 13:00:38,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_forQA09_1_20180815_133518.avi,3536.840,25.0,No focal subject,nectarforaging,,STATE,0.000,1100.802,1100.802,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,broodmanipulate,,STATE,0.000,114.549,114.549,,
QA09	20180815	13,2018-08-15 13:00:38,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_forQA09_1_20180815_133518.avi,3536.840,25.0,Queen,nectarforaging,,STATE,0.001,1316.301,1316.300,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,feedsbrood,,POINT,38.205,38.205,NA,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,incubate,,STATE,114.550,248.376,133.826,,
nest	QA09	20180814	12,2018-08-14 12:00:28,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180814_120504.avi,2297.480,25.0,Queen,feedsbrood,,POINT,158.480,158.480,NA,,
nest	QA09	20180819	7,2018-08-19 07:00:55,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180819_071238.avi,2437.360,25.0,Queen,feedsbrood,,POINT,233.573,233.573,NA,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,feedsbrood,,POINT,236.250,236.250,NA,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,waxmanipulate,,STATE,248.377,253.702,5.325,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,broodmanipulate,,STATE,253.703,300.028,46.325,,
