Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QA11	20181114	0,2018-11-14 00:00:50,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_001006.avi,1277.140,14.0,Queen (97),nectarforaging,,STATE,8.626,67.119,58.493,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,STATE,19.952,111.975,92.023,,
for	QA11	20181113	23,2018-11-13 23:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181113_230941.avi,1174.430,14.0,Queen (97),nectarforaging,,STATE,44.079,54.729,10.650,,
for	QA11	20181113	23,2018-11-13 23:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181113_230941.avi,1174.430,14.0,Queen (97),nectarforaging,,STATE,71.174,152.663,81.489,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,POINT,147.836,147.836,NA,,
for	QA11	20181113	23,2018-11-13 23:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181113_230941.avi,1174.430,14.0,Queen (97),nectarforaging,,STATE,190.459,397.687,207.228,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,POINT,226.000,226.000,NA,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,STATE,235.190,319.475,84.285,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,POINT,239.897,239.897,NA,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,POINT,250.410,250.410,NA,,
nest	QA11	20181114	23,2018-11-14 23:00:58,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_235112.avi,1097.360,25.0,Queen (97),fillshoneypot,,POINT,258.758,258.758,NA,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,POINT,266.963,266.963,NA,,
nest	QA11	20181114	23,2018-11-14 23:00:58,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_235112.avi,1097.360,25.0,Queen (97),fillshoneypot,,POINT,269.242,269.242,NA,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),feedsbrood,,POINT,280.817,280.817,NA,,
nest	QA11	20181113	23,2018-11-13 23:00:55,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181113_231103.avi,996.080,25.0,Queen (97),fillshoneypot,,POINT,292.259,292.259,NA,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,STATE,383.176,391.000,7.824,,
for	QA11	20181118	14,2018-11-18 14:00:47,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181118_142608.avi,2196.290,7.0,Queen (97),pollenforaging,,STATE,555.447,681.996,126.549,,
for	QA11	20181113	23,2018-11-13 23:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181113_230941.avi,1174.430,14.0,Queen (97),nectarforaging,,STATE,562.884,596.691,33.807,,
for	QA11	20181114	0,2018-11-14 00:00:50,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_001006.avi,1277.140,14.0,Queen (97),nectarforaging,,STATE,620.844,628.671,7.827,,
for	QA11	20181114	23,2018-11-14 23:00:39,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_235409.avi,1287.210,14.0,Queen (97),nectarforaging,,STATE,638.811,719.545,80.734,,
for	QA11	20181113	23,2018-11-13 23:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181113_230941.avi,1174.430,14.0,Queen (97),nectarforaging,,STATE,665.234,685.514,20.280,,
for	QA11	20181118	2,2018-11-18 02:00:10,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181118_022323.avi,1100.290,14.0,No focal subject,pollenforaging,,STATE,711.973,740.552,28.579,,
for	QA11	20181112	23,2018-11-12 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181112_230934.avi,1849.430,14.0,Queen (97),nectarforaging,,STATE,720.001,722.351,2.350,,
for	QA11	20181112	23,2018-11-12 23:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181112_230934.avi,1849.430,14.0,Queen (97),nectarforaging,,STATE,760.858,763.507,2.649,,
for	QA11	20181118	14,2018-11-18 14:00:47,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181118_142608.avi,2196.290,7.0,Queen (97),pollenforaging,,STATE,761.148,799.523,38.375,,
