Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF04	20180629	6,2018-06-29 06:00:37,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF04/05_forQF04_1_20180629_063332.avi,2852.480,25.0,No focal subject,nectarforaging,,,STATE,0.000,21.345,21.345,,
for	QF04	20180706	9,2018-07-06 09:00:22,G:/My Drive/AllRounds/QF/QF04/05_forQF04_1_20180706_092125.avi,3210.920,25.0,Unknown,nectarforaging,,,STATE,0.000,49.725,49.725,,
for	QF04	20180629	9,2018-06-29 09:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF04/05_forQF04_1_20180629_093338.avi,2916.640,25.0,Queen (54),nectarforaging,,,STATE,0.015,145.410,145.395,,
for	QF04	20180629	9,2018-06-29 09:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF04/05_forQF04_1_20180629_093338.avi,2916.640,25.0,Worker 4 (72),pollenforaging,,,STATE,0.015,18.033,18.018,,
for	QF04	20180705	9,2018-07-05 09:00:07,G:/My Drive/AllRounds/QF/QF04/05_forQF04_1_20180705_090656.avi,3275.080,25.0,Worker 4 (72),pollenforaging,,,STATE,0.153,54.227,54.074,,
nest	QF04	20180706	9,2018-07-06 09:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF04/05_nestQF04_1_20180706_092024.avi,3187.720,25.0,Worker 3 (60),feedsbrood,,,POINT,3.725,3.725,NA,,
nest	QF04	20180706	13,2018-07-06 13:00:56,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/QF/QF04/05_nestQF04_1_20180706_135721.avi,739.160,25.0,Worker 4 (72),feedsbrood,,,POINT,11.853,11.853,NA,,
nest	QF04	20180705	16,2018-07-05 16:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF04/05_nestQF04_1_20180705_161940.avi,3309.040,25.0,Unknown,feedsbrood,,,POINT,19.826,19.826,NA,,
nest	QF04	20180705	16,2018-07-05 16:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF04/05_nestQF04_1_20180705_161940.avi,3309.040,25.0,Unknown,feedsbrood,,,POINT,26.953,26.953,NA,,
for	QF04	20180629	9,2018-06-29 09:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF04/05_forQF04_1_20180629_093338.avi,2916.640,25.0,Worker 4 (72),nectarforaging,,,STATE,39.788,78.281,38.493,,
nest	QF04	20180706	13,2018-07-06 13:00:56,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/QF/QF04/05_nestQF04_1_20180706_135721.avi,739.160,25.0,Worker 6 (96),feedsbrood,,,POINT,67.169,67.169,NA,,
nest	QF04	20180701	2,2018-07-01 02:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF04/05_nestQF04_1_20180701_024230.avi,3260.520,25.0,Worker 4 (72),feedsbrood,,,POINT,79.950,79.950,NA,,
