Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,,STATE,0.000,21.704,21.704,,
for	QF11	20181119	16,2018-11-19 16:00:04,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181119_161017.avi,1777.000,25.0,Worker 5 (65),nectarforaging,,,STATE,0.000,41.141,41.141,,
for	QF11	20181118	13,2018-11-18 13:00:00,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_133625.avi,1119.800,25.0,Worker 1 (9),nectarforaging,,,STATE,0.804,192.368,191.564,,
for	QF11	20181113	21,2018-11-13 21:00:32,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_211154.avi,815.840,25.0,Worker 4 (52),nectarforaging,,,STATE,1.436,13.868,12.432,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,,STATE,7.530,60.979,53.449,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,10.075,25.980,15.905,,
for	QF11	20181118	20,2018-11-18 20:00:16,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_203859.avi,834.120,25.0,Worker 2 (17),nectarforaging,,,STATE,20.005,48.867,28.862,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 5 (65),nectarforaging,,,STATE,28.204,74.080,45.876,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,62.105,86.005,23.900,,
nest	QF11	20181119	21,2018-11-19 21:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_210951.avi,1732.040,25.0,Worker 2 (17),feedsbrood,,,POINT,62.250,62.250,NA,,
