Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QT02	20180629	8,2018-06-29 08:00:18,G:/My Drive/AllRounds/QT/QT02/05_forQT02_1_20180629_083539.avi,3041.200,25.0,Queen (85),pollenforaging,,,STATE,0.000,15.751,15.751,,
for	QT02	20180705	18,2018-07-05 18:00:29,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_forQT02_1_20180705_182045.avi,3322.840,25.0,Unknown,nectarforaging,,,STATE,0.000,14.751,14.751,,
nest	QT02	20180629	16,2018-06-29 16:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/QT/QT02/05_nestQT02_1_20180629_163925.avi,3473.680,25.0,Queen (85),feedsbrood,,,POINT,1.876,1.876,NA,,
for	QT02	20180705	8,2018-07-05 08:00:31,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT02/05_forQT02_1_20180705_080653.avi,3186.720,25.0,Worker 3 (11),nectarforaging,,,STATE,2.401,132.490,130.089,,
for	QT02	20180629	6,2018-06-29 06:00:04,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_forQT02_1_20180629_063523.avi,2851.640,25.0,Queen (85),pollenforaging,,,STATE,13.000,21.551,8.551,,
nest	QT02	20180629	8,2018-06-29 08:00:09,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_083821.avi,2994.000,25.0,Worker 3 (11),feedsbrood,,,POINT,14.178,14.178,NA,,
nest	QT02	20180629	4,2018-06-29 04:00:32,/Volumes/GoogleDrive/My Drive/Videos/Rounds1_2/QT/QT02/05_nestQT02_1_20180629_043812.avi,2800.480,25.0,Worker 4 (29),feedsbrood,,,POINT,23.278,23.278,NA,,
nest	QT02	20180629	4,2018-06-29 04:00:32,/Volumes/GoogleDrive/My Drive/Videos/Rounds1_2/QT/QT02/05_nestQT02_1_20180629_043812.avi,2800.480,25.0,Worker 3 (11),feedsbrood,,,POINT,23.803,23.803,NA,,
nest	QT02	20180630	13,2018-06-30 13:00:50,G:/My Drive/AllRounds/QT/QT02/05_nestQT02_1_20180630_134145.avi,3237.920,25.0,Queen (85),feedsbrood,,,POINT,25.277,25.277,NA,,
nest	QT02	20180629	20,2018-06-29 20:00:31,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_203943.avi,3382.880,25.0,Queen (85),feedsbrood,,,POINT,25.527,25.527,NA,,
for	QT02	20180629	8,2018-06-29 08:00:18,G:/My Drive/AllRounds/QT/QT02/05_forQT02_1_20180629_083539.avi,3041.200,25.0,Queen (85),nectarforaging,,,STATE,25.996,32.246,6.250,,
nest	QT02	20180706	11,2018-07-06 11:00:56,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180706_112128.avi,1474.240,25.0,Worker 4 (29),feedsbrood,,,POINT,38.981,38.981,NA,,
nest	QT02	20180629	6,2018-06-29 06:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Round1/QT/QT02/05_nestQT02_1_20180629_063814.avi,2833.400,25.0,Worker 3 (11),feedsbrood,,,POINT,43.181,43.181,NA,,
nest	QT02	20180704	0,2018-07-04 00:00:50,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_000315.avi,3125.960,25.0,Queen (85),feedsbrood,,,POINT,46.354,46.354,NA,,
