,,Worker 3 (94),Worker 3 (94),Worker 3 (94),Worker 3 (94),Worker 3 (94)
,,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
NT16	20181112	23,58.040,0,0,0,0,0
for	NT16	20181113	20,62.560,0,0,0,0,0
for	NT16	20181113	3,61.840,0,0,0,0,0
for	NT16	20181114	1,59.400,0,0,0,0,0
for	NT16	20181114	14,69.720,0,0,0,0,0
for	NT16	20181114	20,66.480,0,0,0,0,0
for	NT16	20181118	0,74.320,0,0,0,0,0
for	NT16	20181118	8,68.680,0,0,0,0,0
for	NT16	20181119	16,60.440,0,0,0,0,0
for	NT16	20181120	16,73.800,0,0,0,0,0
for	NT16	20181120	3,61.960,0,0,0,0,0
nest	NT16	20181112	19,68.230,0.000,2,0.000,0.000,0.000
nest	NT16	20181112	23,62.550,0,0,0,0,0
nest	NT16	20181113	20,71.640,0,0,0,0,0
nest	NT16	20181114	13,68.770,0,0,0,0,0
nest	NT16	20181114	14,73.820,0,0,0,0,0
nest	NT16	20181114	20,73.640,0,0,0,0,0
nest	NT16	20181118	0,91.140,0.000,2,0.000,0.000,0.000
nest	NT16	20181120	15,78.140,0,0,0,0,0
nest	NT16	20181120	16,77.590,0,0,0,0,0
