,,Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 1 (23),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 2 (40),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 3 (75),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 4 (87),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91),Worker 5 (91)
,,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
for	QF14	20181113	13,48.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181114	22,67.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181114	8,63.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.425,2,21.212,9.916,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181115	10,60.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181115	4,58.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.700,1,36.700,0,0.625,8.725,1,8.725,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181115	5,59.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.228,1,4.228,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181119	1,83.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181119	23,60.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181119	3,68.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.963,1,22.963,0,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QF14	20181120	0,23.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
