beeID,Microcolony ID,Date,Wing 1 (mm),Wing 2 (mm),Avg. (mm)
93,NT02,1/22,3.2,3.3,3.25
5,NT03,1/22,3,3,3
92,NT04,1/22,3.1,3.2,3.15
34,NT03,1/22,3,3,3
33,NT04,1/22,2.3,2.3,2.3
98,NT05,1/22,2.6,2.7,2.65
49,NT04,1/22,2.2,2.3,2.25
25,NT05,1/22,2.6,2.7,2.65
70,NT06,1/22,2.4,2.4,2.4
42,NT05,1/23,2.5,2.6,2.55
43,NT05,1/23,2.5,2.5,2.5
44,NT05,1/23,2.7,2.6,2.65
13,NT06,1/23,2.8,2.7,2.75
38,NT06,1/23,2.6,2.6,2.6
67,NT06,1/23,2.6,2.6,2.6
68,NT07,1/23,2.6,2.6,2.6
2,NT07,1/23,2.8,2.7,2.75
49,NT07,1/23,3,3.1,3.05
40,NT08,1/23,2.5,2.5,2.5
50,NT08,1/23,2.2,2.2,2.2
55,NT08,1/23,2.5,2.5,2.5
6,NT10,1/23,2.9,2.9,2.9
7,NT10,1/23,2.6,2.6,2.6
18,NT10,1/23,2.9,2.9,2.9
4,NF01,1/28,2.8,2.8,2.8
6,NF01,1/28,2.8,2.9,2.85
13,NF01,1/28,3,3,3
35,NF01,1/28,3,2.9,2.95
82,NF01,1/28,2.7,2.7,2.7
1,NF02,1/28,2.6,2.6,2.6
5,NF02,1/28,2.7,2.7,2.7
26,NF02,1/28,2.9,3,2.95
30,NF02,1/28,3,3,3
77,NF02,1/28,2.6,2.5,2.55
14,NF03,1/28,2.7,2.7,2.7
18,NF03,1/28,2.7,2.8,2.75
28,NF03,1/28,3,3,3
75,NF03,1/28,2.9,2.8,2.85
90,NF03,1/28,NA,NA,na
40,NF04,1/28,2.5,2.5,2.5
44,NF04,1/28,2.6,2.6,2.6
74,NF04,1/28,2.8,2.8,2.8
61,NF04,1/28,2.9,2.9,2.9
92,NF04,1/28,2.6,2.6,2.6
23,NF05,1/28,2.7,2.7,2.7
45,NF05,1/28,2.8,2.8,2.8
46,NF05,1/28,2.8,2.8,2.8
82,NF05,1/28,2.6,2.6,2.6
83,NF05,1/28,2.7,2.7,2.7
76,NF06,1/30,2.7,2.6,2.65
61,NF06,1/30,2.5,2.5,2.5
8,NF06,1/30,2.4,2.4,2.4
12,NF06,1/30,2.1,2.1,2.1
95,NF06,1/30,2.6,na,2.6
4,NF07,1/30,2.9,2.8,2.85
13,NF07,1/30,2.5,2.5,2.5
26,NF07,1/30,2.6,2.6,2.6
52,NF07,1/30,2.4,2.4,2.4
70,NF07,1/30,2.8,2.8,2.8
17,NF10,1/30,2.5,2.5,2.5
25,NF10,1/30,2.7,2.7,2.7
63,NF10,1/30,2.8,2.8,2.8
72,NF10,1/30,2.8,2.8,2.8
81,NF10,1/30,2.3,2.2,2.25
35,NT11,1/30,2.8,2.8,2.8
61,NT11,1/30,2.4,2.4,2.4
71,NT11,1/30,2.6,2.7,2.65
14,NT12,1/30,2.8,2.8,2.8
15,NT12,1/30,2.4,2.4,2.4
32,NT12,1/30,2.4,2.4,2.4
27,NT13,1/30,2.4,2.4,2.4
56,NT13,1/30,2.9,2.9,2.9
99,NT13,1/30,2.8,2.7,2.75
38,NT14,1/30,2.5,2.5,2.5
56,NT14,1/30,2.6,2.5,2.55
91,NT14,1/30,2.4,2.4,2.4
51,NT15,2/4,2.8,2.8,2.8
14,NT15,2/4,2.7,2.7,2.7
38,NT15,2/4,2.6,2.6,2.6
28,NT16,2/4,2.8,2.8,2.8
31,NT16,2/4,2.5,2.5,2.5
94,NT16,2/4,2.8,2.8,2.8
7,NF11,2/4,2.7,2.7,2.7
16,NF11,2/4,2.7,2.7,2.7
20,NF11,2/4,2.6,2.7,2.65
49,NF11,2/4,2.6,2.6,2.6
33,NF11,2/4,2.4,2.4,2.4
74,QF10,2/4,2.6,2.6,2.6
54,QF10,2/4,2,1.7,1.85
86,QF10,2/4,2.8,2.8,2.8
90,QF10,2/4,2.4,2.3,2.35
71,QF10,2/4,2.9,2.9,2.9
11,QF09,2/4,2.4,2.3,2.35
22,QF09,2/4,2.1,2.1,2.1
31,QF09,2/4,2.8,2.8,2.8
41,QF09,2/4,2.8,2.8,2.8
51,QF09,2/4,2.8,2.8,2.8
8,QF15,2/5,2.8,2.7,2.75
