"","X","nestID","nestTYPE","beeID","caste","timepoint","feedsbrood","nectarforaging","pollenforaging","egglaying","nBehavs","allforaging"
"1",1,"NF01","NF","35","worker","early",5,0,0,0,5,0
"2",2,"NF01","NF","6","worker","early",2,2,0,0,4,2
"3",3,"NF01","NF","13","worker","early",2,2,0,1,5,2
"4",4,"NF01","NF","82","worker","early",1,2,0,0,3,2
"5",17,"NF06","NF","8","worker","early",1,2,1,0,4,3
"6",18,"NF06","NF","61","worker","early",0,0,7,1,8,7
"7",19,"NF06","NF","95","worker","early",2,0,0,2,4,0
"8",30,"NT02","NT","5","worker","early",5,0,2,1,8,2
"9",31,"NT02","NT","92","worker","early",5,0,0,2,7,0
"10",32,"NT02","NT","93","worker","early",3,9,7,0,19,16
"11",61,"QF04","QF","72","worker","early",1,13,27,0,41,40
"12",62,"QF04","QF","81","worker","early",1,0,2,0,3,2
"13",63,"QF04","QF","96","worker","early",1,7,0,0,9,7
"14",64,"QF04","QF","60","worker","early",0,1,0,0,1,1
"15",65,"QF06","QF","80","worker","early",4,0,2,0,7,2
"16",66,"QF06","QF","35","worker","early",0,8,0,0,8,8
"17",67,"QF06","QF","6","worker","early",0,3,0,0,4,3
"18",68,"QF06","QF","12","worker","early",3,0,0,0,4,0
"19",69,"QF07","QF","18","worker","early",0,0,0,1,9,0
"20",70,"QF07","QF","60","worker","early",6,0,0,3,13,0
"21",71,"QF07","QF","72","worker","early",6,0,1,1,14,1
"22",72,"QF07","QF","36","worker","early",0,0,12,0,18,12
"23",73,"QF07","QF","23","worker","early",2,0,0,2,9,0
"24",81,"QF11","QF","65","worker","early",2,13,8,0,23,21
"25",82,"QF11","QF","52","worker","early",0,3,1,0,4,4
"26",83,"QF11","QF","17","worker","early",1,14,0,0,15,14
"27",84,"QF11","QF","9","worker","early",0,1,1,0,2,2
"28",90,"QF14","QF","87","worker","early",0,1,2,0,3,3
"29",91,"QF14","QF","40","worker","early",2,0,0,0,2,0
"30",92,"QF14","QF","75","worker","early",2,0,0,0,2,0
"31",101,"QT02","QT","51","worker","early",8,0,1,0,9,1
"32",102,"QT02","QT","11","worker","early",8,0,0,0,8,0
"33",103,"QT02","QT","29","worker","early",1,0,0,0,1,0
"34",109,"QT08","QT","22","worker","early",8,9,0,0,17,9
"35",110,"QT08","QT","19","worker","early",0,1,0,0,1,1
"36",124,"NF01","NF","82","worker","late",10,0,0,0,10,0
"37",125,"NF01","NF","4","worker","late",4,14,2,0,20,16
"38",126,"NF01","NF","13","worker","late",2,0,0,1,3,0
"39",127,"NF01","NF","6","worker","late",1,4,0,0,5,4
"40",128,"NF01","NF","35","worker","late",5,0,0,0,6,0
"41",140,"NF06","NF","95","worker","late",1,2,0,0,3,2
"42",141,"NF06","NF","8","worker","late",0,5,0,0,6,5
"43",142,"NF06","NF","61","worker","late",1,0,0,0,2,0
"44",143,"NF06","NF","76","worker","late",3,3,0,0,6,3
"45",155,"NT02","NT","93","worker","late",0,2,2,0,4,4
"46",156,"NT02","NT","92","worker","late",9,0,0,2,11,0
"47",157,"NT02","NT","5","worker","late",6,8,11,1,26,19
"48",191,"QF04","QF","72","worker","late",4,7,3,0,14,10
"49",192,"QF04","QF","96","worker","late",4,1,0,0,5,1
"50",193,"QF04","QF","60","worker","late",3,0,0,0,3,0
"51",194,"QF04","QF","81","worker","late",1,1,0,0,2,1
"52",195,"QF06","QF","12","worker","late",4,8,0,0,27,8
"53",196,"QF06","QF","6","worker","late",3,6,4,0,17,10
"54",197,"QF06","QF","35","worker","late",4,3,0,0,19,3
"55",198,"QF06","QF","80","worker","late",0,0,0,0,18,0
"56",199,"QF06","QF","47","worker","late",7,2,0,0,22,2
"57",200,"QF07","QF","72","worker","late",6,2,0,0,8,2
"58",201,"QF07","QF","60","worker","late",6,0,0,0,6,0
"59",202,"QF07","QF","36","worker","late",0,22,8,0,30,30
"60",203,"QF07","QF","23","worker","late",0,4,2,0,6,6
"61",208,"QF11","QF","9","worker","late",1,2,0,0,3,2
"62",209,"QF11","QF","17","worker","late",5,2,0,0,7,2
"63",210,"QF11","QF","65","worker","late",1,11,2,0,14,13
"64",211,"QF11","QF","42","worker","late",3,0,0,0,3,0
"65",212,"QF11","QF","52","worker","late",6,5,1,0,12,6
"66",213,"QF14","QF","87","worker","late",1,0,1,0,9,1
"67",214,"QF14","QF","75","worker","late",1,0,0,0,1,0
"68",215,"QF14","QF","23","worker","late",3,2,0,0,5,2
"69",216,"QF14","QF","91","worker","late",0,1,0,0,2,1
"70",221,"QT02","QT","11","worker","late",4,4,0,0,8,4
"71",222,"QT02","QT","51","worker","late",5,0,0,0,5,0
"72",223,"QT02","QT","29","worker","late",2,0,0,0,2,0
"73",227,"QT08","QT","57","worker","late",10,0,0,0,10,0
"74",228,"QT08","QT","22","worker","late",2,12,1,0,15,13
"75",229,"QT08","QT","19","worker","late",3,0,0,0,3,0
"76",239,"QF04","QF","54","queen","early",0,1,0,0,1,1
"77",240,"QF06","QF","66","queen","early",3,0,0,3,6,0
"78",241,"QF07","QF","57","queen","early",0,0,0,0,12,0
"79",245,"QT02","QT","85","queen","early",6,25,14,2,47,39
"80",246,"QT08","QT","78","queen","early",1,8,4,2,15,12
"81",248,"QF04","QF","54","queen","late",2,1,0,0,3,1
"82",249,"QF06","QF","66","queen","late",4,1,1,2,19,2
"83",250,"QT02","QT","85","queen","late",3,6,0,1,10,6
"84",252,"QT08","QT","78","queen","late",1,1,0,2,5,1
"85",254,"NF01","NF","9","worker","early",0,0,0,1,1,0
"86",268,"QF04","QF","unmarked","queen","early",0,0,0,2,2,0
"87",270,"QF11","QF","42","worker","early",0,0,0,3,3,0
"88",271,"QF11","QF","98","queen","early",0,0,0,2,2,0
"89",272,"QF14","QF","unmarked","queen","early",0,0,0,1,1,0
"90",291,"QF04","QF","unmarked","queen","late",0,0,0,1,1,0
"91",292,"QF07","QF","57","queen","late",0,0,0,2,2,0
"92",295,"QF11","QF","98","queen","late",0,0,0,1,1,0
"93",297,"QF14","QF","unmarked","queen","late",0,0,0,2,2,0
