"","nestID.y","beeID.y","egglaying","joinc","feedsbrood","nectarforaging","pollenforaging","nBehavs","nestTYPE"
"1","NF01","35",0,"NF01_35",10,0,0,11,"NF"
"2","NF01","82",0,"NF01_82",11,2,0,13,"NF"
"3","NF01","4",0,"NF01_4",4,14,2,20,"NF"
"4","NF01","6",0,"NF01_6",3,6,0,9,"NF"
"5","NF01","13",2,"NF01_13",4,2,0,6,"NF"
"6","NF02","5",0,"NF02_5",6,0,0,6,"NF"
"7","NF02","1",0,"NF02_1",11,0,0,11,"NF"
"8","NF02","26",0,"NF02_26",3,0,0,3,"NF"
"9","NF02","77",0,"NF02_77",3,0,0,3,"NF"
"10","NF03","14",1,"NF03_14",1,27,1,30,"NF"
"11","NF03","8",0,"NF03_8",0,1,0,1,"NF"
"12","NF03","90",1,"NF03_90",1,0,4,5,"NF"
"13","NF04","61",0,"NF04_61",0,18,2,20,"NF"
"14","NF04","74",0,"NF04_74",2,3,1,6,"NF"
"15","NF04","44",0,"NF04_44",1,9,0,10,"NF"
"16","NF04","40",1,"NF04_40",1,0,0,1,"NF"
"17","NF05","82",0,"NF05_82",4,0,0,4,"NF"
"18","NF05","46",1,"NF05_46",0,5,0,6,"NF"
"19","NF05","83",1,"NF05_83",4,0,0,4,"NF"
"20","NF05","45",0,"NF05_45",5,1,0,6,"NF"
"21","NF05","23",0,"NF05_23",1,0,0,1,"NF"
"22","NF06","95",0,"NF06_95",3,2,0,5,"NF"
"23","NF06","8",0,"NF06_8",1,7,1,10,"NF"
"24","NF06","61",0,"NF06_61",1,0,7,9,"NF"
"25","NF06","76",0,"NF06_76",3,3,0,6,"NF"
"26","NF07","26",0,"NF07_26",0,8,0,9,"NF"
"27","NF07","70",0,"NF07_70",2,4,2,8,"NF"
"28","NF07","52",0,"NF07_52",1,0,0,1,"NF"
"29","NF07","13",0,"NF07_13",0,7,0,8,"NF"
"30","NF10","72",0,"NF10_72",3,0,0,3,"NF"
"31","NF11","20",0,"NF11_20",2,3,0,5,"NF"
"32","NF11","7",0,"NF11_7",6,0,0,6,"NF"
"33","NF11","33",0,"NF11_33",4,0,0,4,"NF"
"34","NF11","49",0,"NF11_49",0,0,0,1,"NF"
"35","NF11","16",0,"NF11_16",2,0,0,2,"NF"
"36","NT01","73",0,"NT01_73",4,0,0,4,"NT"
"37","NT01","10",0,"NT01_10",7,0,0,7,"NT"
"38","NT01","85",0,"NT01_85",4,0,0,4,"NT"
"39","NT02","93",0,"NT02_93",3,11,9,23,"NT"
"40","NT02","92",1,"NT02_92",14,0,0,14,"NT"
"41","NT02","5",0,"NT02_5",11,8,13,32,"NT"
"42","NT03","33",0,"NT03_33",2,24,0,26,"NT"
"43","NT03","98",0,"NT03_98",2,0,0,2,"NT"
"44","NT03","34",1,"NT03_34",5,0,0,5,"NT"
"45","NT04","25",1,"NT04_25",8,0,0,8,"NT"
"46","NT04","70",0,"NT04_70",3,6,0,9,"NT"
"47","NT04","49",0,"NT04_49",2,0,0,2,"NT"
"48","NT05","43",0,"NT05_43",12,2,0,14,"NT"
"49","NT05","44",1,"NT05_44",4,0,0,4,"NT"
